user_id;country;city;school
8437;Россия;Омск;Инженерный лицей БПОУ «Омавиат»
8438;Россия;Кемерово;"МАОУ ""СОШ № 85"""
8439;Россия;Красноярск;МАОУ СШ № 144
8440;Россия;Стерлитамак;МАОУ «ПМ гимназия №1»
8441;Россия;Санкт-Петербург;ГБОУ школа №203 Красносельского района Санкт-Петербурга
8442;Россия;Иркутск;РЖД лицей № 14
8443;Россия;Астрахань;МБОУ г. Астрахани «Лицей № 1»
8444;Россия;Санкт-Петербург;ГБОУ СОШ № 547 Красносельского района Санкт-Петербурга
8445;Россия;Санкт-Петербург;ГБОУ лицей № 226 Фрунзенского района Санкт-Петербурга
8446;Россия;Кумертау;МБОУ СОШ № 3 им. С.А.Погребача
8447;Россия;Кемерово;"МАОУ ""Средняя общеобразовательная школа № 36"""
8448;Россия;Пермь;"МАОУ ""Инженерная школа им. М.Ю. Цирульникова"" Перми"
8449;Россия;Санкт-Петербург;ГБОУ школа №582 Приморского района Санкт-Петербурга
8450;Россия;Санкт-Петербург;"ГБОУ ""ИТШ № 777"" Санкт-Петербурга"
8451;Россия;Мурино;МОБУ «Муринская СОШ № 6»
8452;Россия;Стерлитамак;МАОУ «ПМ гимназия №1»
8453;Россия;Булгаково;"МОБУ Школа ""Взлетай"" с. Булгаково"
8454;Россия;Санкт-Петербург;ГБОУ лицей № 369 имени Героя Российской Федерации А.Н.Жихарева Красносельского района Санкт-Петербурга
8455;Россия;Екатеринбург;ГАНОУ СО «Губернаторский лицей»
8456;Россия;Астрахань;МБОУ г. Астрахани «Лицей № 1»
8457;Россия;Красноярск;МАОУ СШ № 144
8458;Россия;Кемерово;"МАОУ ""СОШ № 85"""
8459;Россия;Ханты-Мансийск;"МБОУ ""СОШ № 6 им. Сирина Н.И."""
8460;Россия;Пермь;"МАОУ ""Лицей № 4"" г. Перми"
8461;Россия;Мурино;МОБУ «Муринская СОШ № 6»
8462;Россия;Губкинский;"МБОУ ""СОШ №4"""
8463;Россия;Губкинский;"МБОУ ""СОШ №4"""
8464;Россия;Чайковский;МАОУ СОШ № 10
8465;Россия;Домодедово;МАОУ «Домодедовский образовательный комплекс «Доминанта»
8466;Россия;Липецк;МАОУ СОШ № 29 г. Липецка
8467;Россия;Астрахань;МБОУ г. Астрахани «Лицей № 1»
8468;Россия;Первоуральск;МАОУ «Лицей №21»
8469;Россия;Чайковский;МАОУ СОШ № 10
8470;Россия;Калуга;"МБОУ ""СОШ № 10 с углубленным изучением отдельных предметов"" г. Калуги"
8471;Россия;Омск;Инженерный лицей БПОУ «Омавиат»
8472;Россия;Астрахань;МБОУ г. Астрахани «Лицей № 1»
8473;Россия;Санкт-Петербург;ГБОУ СОШ № 391 Красносельского района Санкт-Петербурга
8474;Россия;Стерлитамак;МАОУ «ПМ гимназия №1»
8475;Россия;Иркутск;РЖД лицей № 14
8476;Россия;Кумертау;МБОУ СОШ № 3 им. С.А.Погребача
8477;Россия;Красноярск;МАОУ СШ № 144
8478;Россия;Санкт-Петербург;ГБОУ СОШ № 391 Красносельского района Санкт-Петербурга
8479;Россия;Челябинск;МАОУ «ИТ – лицей Привилегия г. Челябинска»
8480;Россия;Санкт-Петербург;ГБОУ лицей № 369 имени Героя Российской Федерации А.Н.Жихарева Красносельского района Санкт-Петербурга
8481;Россия;Красноярск;МАОУ СШ № 144
8482;Россия;Красноярск;МАОУ СШ № 144
8483;Россия;Санкт-Петербург;ГБОУ СОШ №200 с углублённым изучением финского языка Красносельского района Санкт-Петербурга
8484;Россия;Стерлитамак;МАОУ «ПМ гимназия №1»
8485;Россия;Стерлитамак;МАОУ «ПМ гимназия №1»
8486;Россия;Липецк;МАОУ СОШ № 29 г. Липецка
8487;Россия;Санкт-Петербург;ГБОУ СОШ №200 с углублённым изучением финского языка Красносельского района Санкт-Петербурга
8488;Россия;Иваново;"МБОУ ""Лицей №33"""
8489;Россия;Пермь;"МАОУ ""Лицей № 4"" г. Перми"
8490;Россия;Астрахань;МБОУ г. Астрахани «Лицей № 1»
8491;Россия;Губкинский;"МБОУ ""СОШ №4"""
8492;Россия;Кемерово;"МАОУ ""Средняя общеобразовательная школа № 36"""
8493;Россия;Чайковский;МАОУ СОШ № 10
8494;Россия;Снежногорск;"МАОУ ""СОШ №269"""
8495;Россия;Липецк;МАОУ СОШ № 29 г. Липецка
